Gauge,25yr,50yr,100yr,25yr_a31,50yr_a31,100yr_a31,25yr_b31,50yr_b31,100yr_b31,25yr_mnsn,50yr_mnsn,100yr_mnsn,25yr_mnsn_b31,50yr_mnsn_b31,100yr_mnsn_b31
34,72.19481159291456,84.26456388233774,97.13285300050524,65.43115541744757,75.31721753105606,85.82520005853517,77.74476049460313,91.02339317609923,105.0460369256942,74.24830439735834,88.29499182638632,103.55310317763976,81.18701133992404,96.4847060965239,112.95556644303916
35,72.7500208691743,84.833238029814,97.75874691571306,65.27670726518159,74.67475680396078,84.49289408905943,79.13863484805853,92.71467994621948,107.1350657025026,75.11894215509896,89.06384744482975,104.08290804290516,82.9504282073887,98.35687595716318,114.83829182269405
36,73.26030468500053,85.06114891430535,97.53464985792452,67.98167159355512,78.13644544756147,88.79999524630983,77.66879860125425,90.50457230249232,104.00490829096846,74.7137274520764,88.1536799034386,102.71192518780262,80.41736574774117,95.1194105441348,111.19161957430067
37,77.55393774332913,90.9750056477793,105.41084484567546,70.25572928478084,81.7219165458151,94.1231253578468,83.47943858459371,97.925585694007,113.3305982093154,79.69701712801684,95.00493608080544,111.8186049667772,86.76999523403717,103.28337029738351,121.35271026918628
38,74.80560609382866,88.24183959789366,102.99638608817996,66.44254194685735,76.87673074520885,87.89157125962244,81.77642586688579,97.10593799797792,113.94883170066332,81.01386877489219,97.43688821537044,115.30774990652884,90.73829694745494,109.2006545381485,128.96023378399295
39,78.16323147776441,92.13065116055536,107.21534588998148,69.2596690172999,79.97749241558195,91.2205985425952,85.86326392404075,101.65060562594412,118.611645566023,85.30861093365735,102.16855750279484,120.4307549155018,94.93402365541684,113.84892156612884,134.13007545743804
40,80.49514550547784,95.11386583816612,110.9808901820134,69.09324795842947,79.82265130605256,91.0278963778864,89.82961505221525,106.40544194639996,124.3198739691635,86.78972100368047,104.26397562659804,123.43178946509376,98.45921955207687,118.35830419660373,140.08069204064628
41,78.2660913684168,92.12139738632752,107.0497607962663,68.91691708610782,79.61006455582027,90.86254503938848,86.12806059408754,101.667431297947,118.30916990488674,82.13335389073511,98.5051212629766,116.6443392047732,91.65123248835135,110.38192177859936,131.17430029714134
42,70.18002609606857,81.25128162794636,92.94036275945456,64.19067812358571,73.74382936053736,83.79057564846751,74.92948617092158,86.85417933724287,99.41054356823471,72.67916598445206,85.70283024552555,99.88023313648964,79.49318922657984,93.9793323374334,109.87628525069223
43,75.4107909053543,88.59612785505493,102.99086611533738,71.02481524487101,82.17474792659398,93.90162227450517,79.3011170403352,94.20401970253288,110.68202260679716,80.6201231957667,96.0619116063061,112.70771611568408,84.59918444217897,101.14854261290807,119.04074717838463
